id,Jacqueline L. Brewer,under
01-01,951,754
01-02,994,677
01-03,970,865
01-04,564,529
01-05,524,426
01-06,1299,1088
01-07,989,757
01-07A,110,127
01-09,576,471
01-10,734,613
01-11,926,942
01-12,899,700
01-13,732,621
01-14,1592,1401
01-15,857,730
01-16,1204,1041
01-17,500,439
01-18,1162,1152
01-19,784,622
01-20,1102,999
01-21,1723,1443
01-22,1659,1405
01-23,3367,2143
01-25,284,189
01-26,1078,902
01-27,872,694
01-28,1718,1583
01-29,1170,935
01-30,591,547
01-31,1552,1151
01-32,1189,816
01-33,665,608
01-34,746,468
01-35,913,769
01-36,1112,951
01-37,872,735
01-38,996,835
01-39,1277,915
01-40,1738,1464
01-41,957,742
01-42,1115,1332
01-43,1051,751
01-44,1462,1492
01-45,833,695
01-46,1149,1168
01-47,962,963
01-48,1088,811
01-49,1544,814
01-50,1231,903
01-51,508,476
02-01,1319,1377
02-02,2279,2457
02-03,1255,1332
02-04,947,1130
02-05,468,443
02-06,1074,1222
03-00,1506,1540
04-01,949,880
04-02,1188,923
04-03,909,755
04-04,779,634
04-05,1564,1438
04-06,1243,1280
04-07,1171,1325
04-08,1169,838
04-09,1136,967
04-10,1255,1098
04-11,695,570
04-12,1238,1173
04-13,1942,1917
04-14,752,728
04-15,1142,931
04-16,974,872
04-17,879,762
04-18,1215,1014
04-19,784,771
04-20,1515,1062
04-21,854,611
05-01,1826,1542
05-03,1489,1390
05-05,3335,2538
05-06,2168,2000
05-07,3002,2386
05-08,1358,1041
06-04,1619,1286
06-05,1372,1453
06-06,2388,2022
06-07,1468,1315
06-08,1057,822
06-09,2304,1959
06-10,1248,1126
07-01,789,659
07-02,741,657
07-03,778,613
07-04,1957,1484
07-05,869,681
07-06,1538,1456
07-07,1648,1440
07-07A,242,262
07-09,1475,1196
07-10,2238,1779
07-11,559,517
07-12,1242,998
07-13,1071,859
08-02,1784,1568
08-03,2496,1817
08-04,810,723
08-05,973,893
08-06,1096,713
08-07,1178,1127
08-08,1980,1724
08-09,961,779
08-10,1232,1001
08-11,1774,1584
09-01,953,907
09-02,1505,1221
09-03,1115,1151
10-01,477,558
10-02,1647,1306
10-03,1140,990
10-04,2720,2607
11-01,2257,1692
11-02,1907,1700
12-01,2248,2247
12-02,1933,1626
12-04,1703,1657
12-05,3145,2945
12-06,1474,1471
12-07,1140,1002
12-08,1919,1555
12-09,1685,1602
13-01,1903,1530
13-02,909,849
13-05,906,773
13-06,1393,1165
13-07,1064,845
13-08,1178,906
13-09,1949,1384
13-10,2602,2225
13-11,1382,1309
14-01,293,343
14-02,2361,2523
15-01,1796,1651
15-02,2234,2112
15-03,1951,1745
15-04,959,882
16-01,1082,1033
16-02,2041,1772
16-03,684,547
16-04,1133,1086
16-05,1099,1060
16-06,611,590
16-07,1467,1314
16-08,3119,2661
16-09,1381,1267
17-01,1185,1012
17-02,429,373
17-03,2582,2558
17-04,2505,2163
17-05,1535,1641
17-06,845,770
17-07,1623,1297
17-08,3275,3018
17-09,1538,1215
17-10,488,477
17-11,1782,1602
18-01,2306,1612
18-02,1940,2079
18-03,1007,1012
18-04,1653,1643
18-05,2064,2206
18-06,1813,1530
18-07,1350,1474
18-08,1762,1463
19-03,1315,1158
19-04,3187,2899
19-05,1280,1337
19-07,1243,1125
19-09,1897,1676
19-10,3611,3114
19-11,1318,1103
19-12,2486,2103
19-13,973,827
19-14,1228,1070
19-15,1130,1012
19-16,1222,1052
19-17,2204,1819
20-01,1610,1285
20-03,1540,1533
20-04,1670,1293
20-05,1572,1721
20-06A,2045,1781
20-06B,1564,1444
20-08,1999,1816
20-09,1266,1127
20-10,1467,1233
20-11,1679,1508
20-12,1127,1115
20-14,2594,2187
20-15,1624,1301
20-16,1389,1079
20-17,1497,1429
