id,Lori G. Christian,UNDER VOTES
01-01,972,733
01-02,985,686
01-03,977,858
01-04,564,529
01-05,511,439
01-06,1313,1074
01-07,979,767
01-07A,109,128
01-09,562,485
01-10,733,614
01-11,913,955
01-12,906,693
01-13,753,600
01-14,1635,1358
01-15,843,744
01-16,1175,1070
01-17,489,450
01-18,1184,1130
01-19,974,432
01-20,1306,795
01-21,1817,1349
01-22,2241,823
01-23,3377,2133
01-25,318,155
01-26,1282,698
01-27,908,658
01-28,2046,1255
01-29,1149,956
01-30,571,567
01-31,1577,1126
01-32,1175,830
01-33,637,636
01-34,883,331
01-35,1181,501
01-36,1086,977
01-37,851,756
01-38,1009,822
01-39,1239,953
01-40,2237,965
01-41,952,747
01-42,1097,1350
01-43,1029,773
01-44,1504,1450
01-45,812,716
01-46,1325,992
01-47,933,992
01-48,1090,809
01-49,1508,850
01-50,1534,600
01-51,496,488
02-01,1291,1405
02-02,2204,2532
02-03,1202,1385
02-04,972,1105
02-05,449,462
02-06,1044,1252
03-00,1460,1586
04-01,912,917
04-02,1150,961
04-03,904,760
04-04,765,648
04-05,1535,1467
04-06,1229,1294
04-07,1143,1353
04-08,1140,867
04-09,1106,997
04-10,1232,1121
04-11,678,587
04-12,1203,1208
04-13,1881,1978
04-14,730,750
04-15,1127,946
04-16,963,883
04-17,847,794
04-18,1191,1038
04-19,760,795
04-20,1464,1113
04-21,832,633
05-01,1803,1565
05-03,1449,1430
05-05,3200,2673
05-06,2108,2060
05-07,2887,2501
05-08,1308,1091
06-04,1557,1348
06-05,1328,1497
06-06,2293,2117
06-07,1406,1377
06-08,1025,854
06-09,2246,2017
06-10,1180,1194
07-01,768,680
07-02,725,673
07-03,758,633
07-04,1934,1507
07-05,847,703
07-06,1503,1491
07-07,1602,1486
07-07A,254,250
07-09,1451,1220
07-10,2182,1835
07-11,548,528
07-12,1227,1013
07-13,1043,887
08-02,1723,1629
08-03,2408,1905
08-04,784,749
08-05,931,935
08-06,1064,745
08-07,1142,1163
08-08,1902,1802
08-09,925,815
08-10,1188,1045
08-11,1719,1639
09-01,914,946
09-02,1489,1237
09-03,1088,1178
10-01,456,579
10-02,1606,1347
10-03,1156,974
10-04,2846,2481
11-01,2149,1800
11-02,1880,1727
12-01,2163,2332
12-02,1864,1695
12-04,1643,1717
12-05,3068,3022
12-06,1427,1518
12-07,1123,1019
12-08,1842,1632
12-09,1624,1663
13-01,2019,1414
13-02,889,869
13-05,914,765
13-06,1377,1181
13-07,1072,837
13-08,1225,859
13-09,1917,1416
13-10,2509,2318
13-11,1334,1357
14-01,284,352
14-02,2296,2588
15-01,1781,1666
15-02,2244,2102
15-03,1934,1762
15-04,965,876
16-01,1116,999
16-02,2464,1349
16-03,700,531
16-04,1182,1037
16-05,1122,1037
16-06,650,551
16-07,1517,1264
16-08,3821,1959
16-09,1448,1200
17-01,1275,922
17-02,432,370
17-03,2822,2318
17-04,2568,2100
17-05,1755,1421
17-06,820,795
17-07,1959,961
17-08,3418,2875
17-09,1980,773
17-10,498,467
17-11,1967,1417
18-01,2342,1576
18-02,1854,2165
18-03,997,1022
18-04,1620,1676
18-05,1992,2278
18-06,1815,1528
18-07,1324,1500
18-08,1701,1524
19-03,1271,1202
19-04,3111,2975
19-05,1201,1416
19-07,1187,1181
19-09,1859,1714
19-10,3493,3232
19-11,1266,1155
19-12,2362,2227
19-13,963,837
19-14,1192,1106
19-15,1078,1064
19-16,1195,1079
19-17,2191,1832
20-01,1554,1341
20-03,1473,1600
20-04,1633,1330
20-05,1541,1752
20-06A,1981,1845
20-06B,1495,1513
20-08,1923,1892
20-09,1220,1173
20-10,1424,1276
20-11,1613,1574
20-12,1110,1132
20-14,2524,2257
20-15,1584,1341
20-16,1337,1131
20-17,1449,1477
