id,Against,For,OVER VOTES,UNDER VOTES
01-01,413,1216,1,75
01-02,435,1165,2,69
01-03,640,1113,0,82
01-04,339,685,0,69
01-05,327,562,1,60
01-06,572,1742,3,70
01-07,385,1293,0,68
01-07A,49,142,0,46
01-09,267,746,0,34
01-10,410,854,0,83
01-11,777,986,1,104
01-12,524,981,1,93
01-13,299,988,2,64
01-14,566,2292,1,134
01-15,686,819,2,80
01-16,747,1354,4,140
01-17,388,488,0,63
01-18,897,1252,1,164
01-19,299,957,1,149
01-20,441,1497,2,161
01-21,1002,1946,5,213
01-22,813,2025,7,219
01-23,1561,3608,3,338
01-25,100,322,0,51
01-26,457,1332,3,188
01-27,271,1198,1,96
01-28,909,2158,4,230
01-29,761,1221,0,123
01-30,449,622,2,65
01-31,697,1806,0,200
01-32,684,1213,1,107
01-33,432,791,1,49
01-34,267,840,4,103
01-35,387,1110,0,185
01-36,860,1076,2,125
01-37,626,893,1,87
01-38,735,977,1,118
01-39,830,1231,2,129
01-40,852,2075,2,273
01-41,469,1159,0,71
01-42,1302,1016,1,128
01-43,725,962,4,111
01-44,1162,1574,2,216
01-45,690,750,2,86
01-46,799,1283,5,230
01-47,1007,845,0,73
01-48,552,1249,1,97
01-49,795,1418,3,142
01-50,507,1462,4,161
01-51,405,516,1,62
02-01,1348,1215,4,129
02-02,2781,1700,4,251
02-03,1440,1012,2,133
02-04,1131,829,2,115
02-05,451,401,0,59
02-06,1296,888,1,111
03-00,1622,1252,1,171
04-01,666,1033,1,129
04-02,830,1150,1,130
04-03,671,900,2,91
04-04,573,751,1,88
04-05,1340,1517,1,144
04-06,1079,1289,4,151
04-07,1203,1156,0,137
04-08,773,1120,1,113
04-09,972,1030,0,101
04-10,1066,1156,2,129
04-11,511,680,2,72
04-12,1073,1220,0,118
04-13,1723,1905,3,228
04-14,660,744,1,75
04-15,864,1104,0,105
04-16,765,998,1,82
04-17,655,906,0,80
04-18,914,1233,1,81
04-19,679,810,0,66
04-20,1039,1383,2,153
04-21,541,825,0,99
05-01,1493,1691,1,183
05-03,1275,1423,0,181
05-05,2576,2979,5,313
05-06,1943,1966,4,255
05-07,2032,2978,6,372
05-08,965,1265,2,167
06-04,1478,1217,4,206
06-05,1614,1092,2,117
06-06,2177,1957,1,275
06-07,1439,1158,1,185
06-08,920,841,0,118
06-09,2356,1668,3,236
06-10,1374,861,2,137
07-01,559,809,1,79
07-02,622,669,1,106
07-03,596,728,0,67
07-04,1324,1923,2,192
07-05,630,830,0,90
07-06,1332,1493,1,168
07-07,1364,1554,2,168
07-07A,139,301,0,64
07-09,1064,1458,1,148
07-10,1664,2167,1,185
07-11,451,569,1,55
07-12,885,1182,1,172
07-13,883,954,1,92
08-02,1531,1631,3,187
08-03,1965,2116,3,229
08-04,796,664,1,72
08-05,886,878,0,102
08-06,683,1008,0,118
08-07,1254,921,2,128
08-08,1848,1661,0,195
08-09,709,925,2,104
08-10,976,1111,2,144
08-11,1484,1628,0,246
09-01,1105,605,3,147
09-02,1171,1322,5,228
09-03,1244,894,3,125
10-01,684,291,0,60
10-02,1586,1158,3,206
10-03,1082,891,2,155
10-04,2717,2294,5,311
11-01,1483,2284,5,177
11-02,1437,2005,3,162
12-01,2599,1656,1,239
12-02,1854,1482,3,220
12-04,2117,1021,1,221
12-05,3524,2244,5,317
12-06,1636,1127,3,179
12-07,1255,758,4,125
12-08,1704,1541,5,224
12-09,1816,1298,4,169
13-01,1300,1848,6,279
13-02,875,794,1,88
13-05,724,818,1,136
13-06,1210,1192,2,154
13-07,828,955,3,123
13-08,780,1120,3,181
13-09,1364,1720,3,246
13-10,2253,2293,3,278
13-11,1377,1177,3,134
14-01,401,189,1,45
14-02,2970,1567,5,342
15-01,1918,1332,2,195
15-02,2313,1769,4,260
15-03,2275,1230,2,189
15-04,999,739,3,100
16-01,1106,879,0,130
16-02,1291,2224,2,296
16-03,556,594,0,81
16-04,1001,1088,0,130
16-05,1021,979,2,157
16-06,461,654,0,86
16-07,1322,1326,0,133
16-08,2003,3317,17,443
16-09,1195,1269,4,180
17-01,864,1167,1,165
17-02,396,360,0,46
17-03,2063,2761,5,311
17-04,2272,2102,1,293
17-05,1321,1613,2,240
17-06,885,610,3,117
17-07,953,1794,3,170
17-08,2701,3229,6,357
17-09,780,1774,3,196
17-10,439,442,0,84
17-11,1347,1757,5,275
18-01,1289,2396,2,231
18-02,2219,1596,2,202
18-03,914,988,1,116
18-04,1715,1407,2,172
18-05,2100,1999,2,169
18-06,1261,1906,2,174
18-07,1616,1031,0,177
18-08,1496,1525,4,200
19-03,1273,1044,0,156
19-04,3141,2516,1,428
19-05,1504,997,0,116
19-07,1122,994,4,248
19-09,2066,1231,2,274
19-10,3731,2555,3,436
19-11,1233,1037,2,149
19-12,2354,1940,3,292
19-13,816,853,0,131
19-14,1199,933,1,165
19-15,1133,898,4,107
19-16,1242,915,1,116
19-17,1909,1868,1,245
20-01,1368,1343,2,182
20-03,1425,1492,1,155
20-04,1362,1440,2,159
20-05,1672,1480,2,139
20-06A,1746,1857,4,219
20-06B,1483,1380,1,144
20-08,1790,1828,5,192
20-09,1062,1238,1,92
20-10,1166,1390,1,143
20-11,1614,1416,2,155
20-12,1105,1019,0,118
20-14,2250,2232,1,298
20-15,1289,1464,1,171
20-16,1039,1260,2,167
20-17,1404,1320,0,202
