id,George Holding,John P. McNeil,over,under
01-42,1359,1001,0,87
01-47,988,887,0,50
02-01,1443,1167,1,85
02-02,2744,1845,0,147
02-03,1539,973,1,74
02-04,1248,773,1,55
02-05,509,375,0,27
02-06,1421,815,0,60
03-00,1621,1289,1,135
04-07,1443,977,0,76
06-04,1275,1506,0,124
06-05,1682,1070,0,73
06-06,2169,2059,0,182
06-07,1334,1358,0,91
06-08,813,998,1,67
06-09,2342,1732,0,189
06-10,1335,955,1,83
08-04,805,676,2,50
08-07,1233,996,0,76
08-08,1766,1820,2,116
09-01,1018,776,0,66
09-02,1000,1618,2,106
09-03,1307,892,0,67
10-01,692,310,0,33
10-02,1364,1499,0,90
10-03,973,1086,0,71
10-04,2193,2955,3,176
12-01,2742,1565,1,187
12-02,1748,1658,1,152
12-04,2229,1019,2,110
12-05,3432,2462,0,196
12-06,1715,1111,1,118
12-07,1236,827,0,79
12-08,1580,1757,0,137
12-09,1913,1253,0,121
13-10,2278,2415,0,134
13-11,1337,1279,1,74
14-01,397,221,0,18
14-02,3237,1507,3,137
15-01,2072,1258,2,115
15-02,2309,1888,1,148
15-03,2328,1243,0,125
15-04,1049,734,1,57
16-01,1146,924,0,45
16-05,962,951,0,95
16-09,1018,1542,1,87
17-06,846,718,1,50
18-02,2319,1551,1,148
18-03,947,1012,0,60
18-04,1741,1442,2,111
18-05,2176,1969,0,125
18-07,1702,1034,0,88
19-03,1400,1004,0,69
19-04,2959,2915,1,211
19-05,1651,889,0,77
19-07,1165,1106,2,95
19-09,2061,1383,2,127
19-10,3819,2713,4,189
19-11,1326,1001,0,94
19-12,2377,2031,2,179
19-13,749,975,1,75
19-14,1184,1041,0,73
19-15,1173,901,1,67
20-05,1686,1477,2,128
20-06A,1618,2020,3,185
20-06B,1500,1369,1,138
20-08,1844,1805,0,166
20-11,1627,1402,0,158
20-12,1149,983,0,110
