id,James West,under
01-01,1337,368
01-02,1279,392
01-03,1194,641
01-04,735,358
01-05,617,333
01-06,1834,553
01-07,1395,351
01-07A,192,45
01-09,839,208
01-10,943,404
01-11,1108,760
01-12,1136,463
01-13,1072,281
01-14,2409,584
01-15,1052,535
01-16,1635,610
01-17,580,359
01-18,1588,726
01-19,1310,96
01-20,1812,289
01-21,2413,753
01-22,2884,180
01-23,4236,1274
01-25,421,52
01-26,1792,188
01-27,1310,256
01-28,2814,487
01-29,1371,734
01-30,708,430
01-31,2176,527
01-32,1548,457
01-33,883,390
01-34,1132,82
01-35,1559,123
01-36,1303,760
01-37,1071,536
01-38,1370,461
01-39,1664,528
01-40,2957,245
01-41,1315,384
01-42,1390,1057
01-43,1337,465
01-44,2102,852
01-45,1049,479
01-46,1954,363
01-47,1159,766
01-48,1490,409
01-49,1906,452
01-50,1979,155
01-51,647,337
02-01,1600,1096
02-02,2702,2034
02-03,1405,1182
02-04,1137,940
02-05,528,383
02-06,1241,1055
03-00,1866,1180
04-01,1231,598
04-02,1471,640
04-03,1177,487
04-04,987,426
04-05,2109,893
04-06,1590,933
04-07,1381,1115
04-08,1496,511
04-09,1364,739
04-10,1570,783
04-11,929,336
04-12,1556,855
04-13,2522,1337
04-14,961,519
04-15,1439,634
04-16,1266,580
04-17,1157,484
04-18,1550,679
04-19,1029,526
04-20,1854,723
04-21,1110,355
05-01,2336,1032
05-03,1834,1045
05-05,4237,1636
05-06,2767,1401
05-07,4111,1277
05-08,1831,568
06-04,1984,921
06-05,1587,1238
06-06,2849,1561
06-07,1788,995
06-08,1293,586
06-09,2613,1650
06-10,1425,949
07-01,1012,436
07-02,903,495
07-03,916,475
07-04,2545,896
07-05,1052,498
07-06,1834,1160
07-07,2080,1008
07-07A,301,203
07-09,1850,821
07-10,2881,1136
07-11,710,366
07-12,1582,658
07-13,1362,568
08-02,2294,1058
08-03,3014,1299
08-04,931,602
08-05,1177,689
08-06,1434,375
08-07,1387,918
08-08,2417,1287
08-09,1213,527
08-10,1547,686
08-11,2302,1056
09-01,1175,685
09-02,2006,720
09-03,1367,899
10-01,544,491
10-02,2012,941
10-03,1461,669
10-04,3701,1626
11-01,2826,1123
11-02,2458,1149
12-01,2572,1923
12-02,2300,1259
12-04,1863,1497
12-05,3728,2362
12-06,1703,1242
12-07,1277,865
12-08,2300,1174
12-09,1940,1347
13-01,2815,618
13-02,1087,671
13-05,1274,405
13-06,1750,808
13-07,1464,445
13-08,1723,361
13-09,2675,658
13-10,3129,1698
13-11,1659,1032
14-01,344,292
14-02,2616,2268
15-01,2050,1397
15-02,2693,1653
15-03,2113,1583
15-04,1084,757
16-01,1316,799
16-02,3226,587
16-03,880,351
16-04,1418,801
16-05,1381,778
16-06,884,317
16-07,1846,935
16-08,5020,760
16-09,1869,779
17-01,1667,530
17-02,537,265
17-03,3741,1399
17-04,3379,1289
17-05,2369,807
17-06,1006,609
17-07,2553,367
17-08,4507,1786
17-09,2493,260
17-10,691,274
17-11,2679,705
18-01,3077,841
18-02,2292,1727
18-03,1295,724
18-04,1970,1326
18-05,2537,1733
18-06,2414,929
18-07,1595,1229
18-08,2148,1077
19-03,1504,969
19-04,3923,2163
19-05,1435,1182
19-07,1510,858
19-09,2188,1385
19-10,4102,2623
19-11,1495,926
19-12,2838,1751
19-13,1210,590
19-14,1436,862
19-15,1293,849
19-16,1493,781
19-17,2957,1066
20-01,2039,856
20-03,1965,1108
20-04,2008,955
20-05,1965,1328
20-06A,2548,1278
20-06B,1865,1143
20-08,2398,1417
20-09,1530,863
20-10,1837,863
20-11,1977,1210
20-12,1361,881
20-14,3280,1501
20-15,2133,792
20-16,1832,636
20-17,1901,1025
