id,Against,For,over,under
01-01,1024,296,0,12
01-02,1041,303,0,12
01-03,987,538,1,21
01-04,603,331,1,17
01-05,552,296,2,11
01-06,1493,481,0,26
01-07,1182,322,1,19
01-07A,112,46,3,12
01-09,756,174,1,11
01-10,864,347,2,21
01-11,926,817,0,32
01-12,864,473,0,28
01-13,943,235,0,19
01-14,2152,461,2,29
01-15,910,585,0,43
01-16,1345,633,1,31
01-17,468,334,1,30
01-18,1139,693,3,32
01-19,797,188,4,15
01-20,1342,344,0,25
01-21,1610,715,2,36
01-22,1931,411,4,40
01-23,2501,1048,4,49
01-25,239,82,0,2
01-26,994,236,1,17
01-27,1104,254,1,21
01-28,2103,598,2,41
01-29,1105,727,3,34
01-30,618,386,3,30
01-31,1319,520,4,50
01-32,1038,474,2,22
01-33,838,387,2,9
01-34,625,163,1,10
01-35,973,245,3,23
01-36,988,782,3,50
01-37,846,525,0,21
01-38,937,482,1,30
01-39,1075,600,3,23
01-40,1813,434,1,27
01-41,1018,357,1,15
01-42,1089,942,5,42
01-43,933,501,0,28
01-44,1461,864,3,44
01-45,724,492,0,13
01-46,968,428,3,46
01-47,870,743,3,29
01-48,1221,391,1,16
01-49,1067,580,3,24
01-50,1454,369,2,28
01-51,520,319,1,12
02-01,1306,1060,1,43
02-02,1992,2092,6,77
02-03,1088,1156,1,30
02-04,849,911,2,38
02-05,436,355,0,7
02-06,912,1045,3,39
03-00,1603,1481,8,62
04-01,982,526,2,37
04-02,1099,603,1,31
04-03,836,478,1,21
04-04,653,458,0,16
04-05,1626,843,2,39
04-06,1425,752,1,33
04-07,1190,970,2,34
04-08,1131,542,0,40
04-09,945,694,0,30
04-10,1248,710,3,42
04-11,666,334,0,24
04-12,1249,747,1,40
04-13,2010,1143,2,72
04-14,799,468,1,14
04-15,1154,587,3,27
04-16,1042,511,1,25
04-17,880,413,1,29
04-18,1163,590,3,29
04-19,871,443,0,23
04-20,1301,687,0,32
04-21,702,354,1,13
05-01,1556,1082,2,49
05-03,1432,1066,2,59
05-05,2628,1523,2,67
05-06,2115,1202,4,67
05-07,2709,1002,5,78
05-08,1321,602,4,30
06-04,1281,1146,4,59
06-05,1056,1234,3,39
06-06,2020,1543,6,90
06-07,1199,1081,4,39
06-08,756,715,2,50
06-09,1885,1667,6,76
06-10,913,1168,1,33
07-01,758,411,1,16
07-02,698,490,0,18
07-03,706,448,1,23
07-04,1759,935,3,53
07-05,789,527,1,16
07-06,1604,1064,3,59
07-07,1536,1023,6,57
07-07A,255,178,0,24
07-09,1407,778,1,50
07-10,2066,1107,1,53
07-11,610,341,0,17
07-12,1155,674,2,32
07-13,948,593,1,32
08-02,1711,1128,2,48
08-03,1917,1424,7,58
08-04,742,620,1,26
08-05,927,690,1,31
08-06,881,481,3,28
08-07,1036,888,1,42
08-08,1799,1348,4,58
08-09,855,504,2,28
08-10,1121,712,2,24
08-11,1613,980,3,45
09-01,510,868,0,40
09-02,889,998,1,37
09-03,749,1163,2,19
10-01,259,617,1,12
10-02,923,1272,7,45
10-03,757,868,3,36
10-04,2320,2338,6,72
11-01,1976,1098,3,53
11-02,1926,1061,1,50
12-01,1557,2168,1,54
12-02,1377,1419,4,48
12-04,929,1912,5,41
12-05,2371,2569,4,73
12-06,1091,1392,5,40
12-07,701,1059,2,19
12-08,1370,1299,5,60
12-09,1253,1731,0,79
13-01,1635,856,7,80
13-02,846,597,1,28
13-05,674,411,2,24
13-06,1257,812,4,37
13-07,945,553,4,27
13-08,961,527,1,29
13-09,1805,845,3,57
13-10,2377,1628,9,93
13-11,1194,990,3,42
14-01,197,341,0,14
14-02,1633,2630,5,87
15-01,1121,1666,2,44
15-02,1571,1974,6,54
15-03,1193,1969,6,41
15-04,720,903,1,35
16-01,742,831,0,27
16-02,1834,886,1,44
16-03,491,415,4,14
16-04,949,912,1,47
16-05,819,790,2,27
16-06,482,340,1,18
16-07,1324,1026,2,37
16-09,1255,960,2,28
16-10,1880,838,1,56
16-11,1152,493,2,40
17-01,1033,605,1,33
17-02,385,417,2,21
17-03,2564,1420,7,87
17-04,2060,1677,5,86
17-05,1496,953,6,57
17-06,565,782,2,25
17-07,1644,669,2,44
17-08,2880,2103,3,128
17-09,1556,590,3,57
17-10,423,308,1,17
17-11,1730,846,1,68
18-01,1903,817,1,48
18-02,1628,1757,2,56
18-03,1084,664,1,23
18-04,1406,1358,2,39
18-05,2130,1581,3,62
18-06,1734,825,2,54
18-07,1041,1356,2,41
18-08,1667,1001,0,69
19-03,860,1023,6,34
19-04,2656,2569,9,102
19-05,970,1237,0,49
19-07,1073,1077,5,64
19-09,1288,1731,0,52
19-11,987,1008,1,47
19-12,2038,2037,2,88
19-13,764,603,2,42
19-14,931,934,3,37
19-15,845,920,1,49
19-16,836,910,0,32
19-17,1966,1320,1,76
19-18,906,1033,4,43
19-19,1761,2156,3,84
20-01,1290,922,1,32
20-03,1460,1119,1,53
20-04,1515,799,3,35
20-05,1653,1164,4,68
20-06A,1889,1339,5,82
20-06B,1447,1073,2,38
20-08,1707,1380,3,79
20-09,1201,804,2,38
20-10,1470,760,3,43
20-11,1513,1168,6,50
20-12,1332,1045,2,45
20-14,2611,1357,2,58
20-15,1506,741,3,44
20-16,1308,676,0,30
20-17,1555,892,2,57
