id,Anthony Wayne (Tony) Street,Beth A. Wood,over,under
01-01,348,1300,0,45
01-02,361,1309,0,59
01-03,686,1103,0,67
01-04,379,741,0,45
01-05,448,628,0,59
01-06,668,1893,0,86
01-07,514,1769,1,88
01-07A,36,193,0,14
01-09,236,848,0,36
01-10,373,1005,0,37
01-11,1084,1252,0,92
01-12,556,1150,0,71
01-13,238,1177,0,37
01-14,522,2765,0,91
01-15,778,1258,1,89
01-16,731,1857,0,96
01-17,428,559,0,30
01-18,744,1585,0,78
01-19,78,1355,0,29
01-20,292,1982,0,57
01-21,804,2687,0,119
01-22,203,3096,0,47
01-23,646,2601,0,153
01-25,45,449,1,15
01-26,134,1555,1,54
01-27,307,1627,0,66
01-28,532,3209,1,92
01-29,868,1384,1,70
01-30,461,742,1,50
01-31,498,2315,0,105
01-32,529,1719,1,75
01-33,472,1129,0,66
01-34,56,1145,0,22
01-35,100,1639,1,35
01-36,1008,1396,0,96
01-37,683,1029,0,50
01-38,483,1417,1,64
01-39,667,1612,0,89
01-40,235,3082,0,58
01-41,380,1470,2,81
01-42,1134,1378,1,70
01-43,593,1440,0,66
01-44,866,2215,2,114
01-45,515,990,0,48
01-46,348,1910,0,57
01-47,831,1158,0,63
01-48,410,1524,0,57
01-49,582,2114,0,90
01-50,185,2336,0,67
01-51,358,629,0,33
02-01,1313,1586,0,100
02-02,2725,2671,0,169
02-03,1408,1331,1,95
02-04,1176,1066,0,56
02-05,436,532,0,33
02-06,1257,1167,0,74
03-00,2569,3167,1,244
04-01,583,1377,0,65
04-02,733,1531,1,69
04-03,533,1272,0,62
04-04,432,1012,0,52
04-05,1120,2200,0,104
04-06,887,1778,0,112
04-07,1217,1339,1,78
04-08,587,1613,0,88
04-09,878,1394,0,77
04-10,864,1672,0,96
04-11,371,998,0,46
04-12,900,1639,0,92
04-13,1428,2760,0,165
04-14,532,1009,0,55
04-15,760,1531,1,76
04-16,525,1341,0,78
04-17,450,1177,0,61
04-18,814,1754,0,98
04-19,550,1065,0,58
04-20,817,1922,1,104
04-21,407,1155,1,57
05-01,1295,2411,0,133
05-03,1351,2350,0,134
05-05,1939,4487,1,225
05-06,1611,2929,1,186
05-07,1789,4524,3,237
05-08,862,2484,2,109
06-04,1467,2234,0,119
06-05,1521,1375,0,114
06-06,2476,3308,0,242
06-07,1264,1816,0,125
06-08,773,1224,0,84
06-09,3218,3373,0,313
06-10,1771,1750,0,129
07-01,442,1072,0,47
07-02,538,964,0,61
07-03,523,956,0,43
07-04,1037,2634,0,128
07-05,561,1111,0,49
07-06,1298,1989,2,120
07-07,1189,2106,0,111
07-07A,161,324,1,42
07-09,926,2005,0,99
07-10,1375,3223,0,175
07-11,394,676,1,38
07-12,690,1743,2,95
07-13,678,1335,0,68
08-02,1258,2381,0,146
08-03,1723,3161,0,185
08-04,757,877,0,43
08-05,786,1146,0,68
08-06,421,1529,0,61
08-07,1104,1271,0,75
08-08,1580,2357,0,175
08-09,582,1172,1,74
08-10,863,1700,0,83
08-11,1214,2401,0,140
09-01,1068,996,1,59
09-02,1001,1903,0,82
09-03,1568,1772,1,83
10-01,685,452,0,34
10-02,1413,1994,2,100
10-03,920,1432,2,65
10-04,2747,4602,0,188
11-01,1572,3332,0,217
11-02,1351,2762,0,140
12-01,3042,2636,0,205
12-02,1954,2398,0,133
12-04,2673,1743,0,142
12-05,3492,3597,0,259
12-06,1886,1891,1,138
12-07,1419,1266,0,67
12-08,1810,2395,2,173
12-09,2403,2278,0,179
13-01,950,3574,2,120
13-02,762,1097,0,77
13-05,441,1453,0,56
13-06,1023,1721,0,98
13-07,560,1563,0,55
13-08,504,2044,0,63
13-09,852,3019,0,113
13-10,2128,3230,0,194
13-11,1216,1650,0,97
14-01,437,302,0,21
14-02,3767,2666,0,193
15-01,2073,1743,0,94
15-02,2433,2716,0,145
15-03,2574,1937,1,120
15-04,1076,1066,1,45
16-01,1077,1495,0,92
16-02,712,3375,0,105
16-03,439,871,0,39
16-04,924,1506,1,69
16-05,921,1282,0,56
16-06,337,819,0,35
16-07,1113,1883,1,71
16-09,1330,2466,0,127
16-10,537,3628,3,70
16-11,458,2419,1,59
17-01,573,1659,0,65
17-02,596,862,0,33
17-03,1522,4067,3,170
17-04,1775,4179,0,150
17-05,846,2561,1,94
17-06,857,1147,0,62
17-07,463,2719,1,59
17-09,319,2961,0,59
17-10,342,737,1,33
17-11,897,2951,1,117
17-12,711,2282,0,76
17-13,1464,3141,1,136
18-01,871,3114,0,136
18-02,2247,2178,0,156
18-03,822,1347,1,71
18-04,1674,2077,0,120
18-05,1926,2708,0,165
18-06,954,2587,0,136
18-07,1633,1547,1,99
18-08,1325,2497,0,142
19-03,1349,1422,0,112
19-05,1677,1341,2,104
19-07,1913,2063,0,146
19-09,2224,2066,0,154
19-11,1331,1679,0,121
19-12,2835,3445,1,230
19-13,725,1225,1,84
19-14,1159,1581,0,91
19-15,1244,1446,1,84
19-16,1018,1412,0,70
19-17,1415,3357,2,147
19-18,1330,1625,1,102
19-19,3026,2939,0,201
19-20,1451,1757,0,89
19-21,1802,2774,0,140
20-01,1162,2121,0,122
20-03,1523,2329,0,171
20-04,1098,2149,0,118
20-05,1597,2212,2,153
20-06A,1635,2845,0,190
20-06B,1331,1952,0,131
20-08,1731,2629,1,187
20-09,979,1539,0,90
20-10,951,1953,0,123
20-11,1910,2818,1,192
20-12,1868,2988,1,172
20-14,2018,4086,1,212
20-15,1093,2789,0,154
20-16,1045,2600,0,153
20-17,1381,2605,0,156
