id,Mike Causey,Wayne Goodwin,over,under
01-01,402,1232,0,60
01-02,444,1214,1,70
01-03,818,958,0,80
01-04,493,627,0,46
01-05,536,535,0,67
01-06,731,1817,0,99
01-07,637,1637,1,94
01-07A,39,188,1,15
01-09,297,784,1,35
01-10,508,863,1,43
01-11,1327,1004,0,97
01-12,676,1026,0,74
01-13,294,1118,0,40
01-14,650,2617,0,111
01-15,900,1119,1,106
01-16,869,1704,0,111
01-17,495,492,0,30
01-18,865,1460,3,79
01-19,82,1348,1,31
01-20,321,1950,1,59
01-21,912,2573,1,124
01-22,222,3067,2,55
01-23,731,2498,1,170
01-25,41,453,0,16
01-26,147,1531,0,63
01-27,357,1575,0,68
01-28,624,3101,0,109
01-29,1118,1135,0,70
01-30,550,654,0,47
01-31,532,2269,0,117
01-32,590,1648,0,86
01-33,583,1013,0,71
01-34,75,1127,0,25
01-35,111,1620,0,44
01-36,1160,1238,0,102
01-37,785,915,0,59
01-38,569,1333,0,63
01-39,737,1523,0,108
01-40,254,3063,0,58
01-41,408,1428,0,97
01-42,1283,1218,0,82
01-43,638,1386,1,74
01-44,975,2101,0,121
01-45,590,899,1,63
01-46,363,1893,0,59
01-47,962,1024,1,65
01-48,480,1447,0,64
01-49,623,2068,0,95
01-50,193,2327,0,68
01-51,407,578,0,35
02-01,1491,1391,0,117
02-02,3008,2367,1,189
02-03,1583,1148,3,101
02-04,1281,963,0,54
02-05,519,445,0,37
02-06,1411,1008,1,78
03-00,2833,2869,0,273
04-01,701,1252,0,72
04-02,834,1420,0,80
04-03,583,1218,1,65
04-04,509,933,0,54
04-05,1256,2048,0,120
04-06,1042,1609,0,126
04-07,1395,1153,0,87
04-08,673,1521,0,94
04-09,975,1286,0,88
04-10,993,1532,0,107
04-11,410,957,0,48
04-12,995,1541,0,99
04-13,1617,2548,0,188
04-14,618,913,1,64
04-15,841,1446,0,81
04-16,615,1253,1,75
04-17,539,1071,1,77
04-18,915,1650,0,101
04-19,616,989,0,68
04-20,907,1816,0,121
04-21,431,1124,2,63
05-01,1434,2254,0,151
05-03,1470,2223,1,141
05-05,2112,4293,0,247
05-06,1819,2701,0,207
05-07,1950,4343,1,259
05-08,921,2411,0,130
06-04,1592,2085,1,138
06-05,1673,1228,0,109
06-06,2678,3086,1,261
06-07,1388,1688,0,129
06-08,824,1169,0,88
06-09,3454,3123,2,325
06-10,1876,1624,0,150
07-01,507,1000,0,54
07-02,621,882,0,60
07-03,624,848,0,50
07-04,1135,2516,0,148
07-05,600,1075,1,45
07-06,1496,1779,0,134
07-07,1376,1907,0,123
07-07A,193,279,0,56
07-09,1073,1851,1,105
07-10,1580,3011,0,182
07-11,466,596,2,46
07-12,796,1629,2,103
07-13,742,1255,0,84
08-02,1447,2179,0,159
08-03,1852,3019,0,198
08-04,825,792,0,57
08-05,908,1020,0,74
08-06,472,1479,0,62
08-07,1265,1104,0,81
08-08,1742,2174,1,196
08-09,672,1076,0,81
08-10,971,1587,0,88
08-11,1337,2255,0,163
09-01,1134,929,0,61
09-02,1072,1831,2,81
09-03,1706,1630,0,88
10-01,733,402,0,36
10-02,1545,1863,1,100
10-03,1005,1350,1,63
10-04,2986,4359,0,192
11-01,1743,3155,0,223
11-02,1530,2566,0,157
12-01,3321,2336,0,226
12-02,2079,2262,0,144
12-04,2820,1583,0,155
12-05,3792,3270,2,284
12-06,2032,1741,1,142
12-07,1522,1155,1,74
12-08,1923,2269,1,187
12-09,2580,2095,0,185
13-01,1030,3478,1,137
13-02,830,1034,0,72
13-05,470,1415,0,65
13-06,1121,1615,0,106
13-07,614,1500,0,64
13-08,520,2024,1,66
13-09,891,2986,0,107
13-10,2329,3014,2,207
13-11,1376,1467,1,119
14-01,472,266,0,24
14-02,4019,2407,1,202
15-01,2249,1559,0,102
15-02,2615,2527,0,152
15-03,2754,1747,0,131
15-04,1185,947,0,56
16-01,1177,1391,0,96
16-02,757,3321,0,114
16-03,493,819,0,37
16-04,1107,1316,0,77
16-05,1017,1176,0,66
16-06,385,767,0,39
16-07,1281,1697,1,85
16-09,1414,2369,0,140
16-10,545,3606,0,87
16-11,486,2388,0,63
17-01,633,1599,0,65
17-02,652,801,0,38
17-03,1677,3915,1,169
17-04,1940,3987,0,177
17-05,905,2488,0,109
17-06,911,1086,1,68
17-07,490,2686,0,66
17-09,337,2933,0,69
17-10,369,709,0,34
17-11,965,2884,1,116
17-12,765,2223,0,81
17-13,1611,2978,2,151
18-01,920,3042,2,156
18-02,2481,1927,2,171
18-03,906,1249,1,86
18-04,1879,1870,1,121
18-05,2176,2428,1,194
18-06,1056,2467,0,154
18-07,1781,1379,1,119
18-08,1461,2335,0,168
19-03,1422,1343,0,118
19-05,1798,1203,1,122
19-07,2017,1939,1,165
19-09,2368,1901,1,174
19-11,1425,1579,1,126
19-12,3111,3157,3,240
19-13,783,1164,0,88
19-14,1239,1488,0,104
19-15,1327,1348,1,99
19-16,1085,1346,1,68
19-17,1532,3246,0,143
19-18,1422,1517,1,118
19-19,3303,2632,0,231
19-20,1561,1637,0,100
19-21,1938,2621,0,157
20-01,1302,1980,1,122
20-03,1691,2148,0,184
20-04,1213,2003,0,148
20-05,1785,2029,0,150
20-06A,1761,2698,0,213
20-06B,1460,1804,0,150
20-08,1910,2425,1,212
20-09,1128,1373,0,107
20-10,1099,1791,0,137
20-11,2055,2654,1,211
20-12,2048,2785,0,196
20-14,2184,3883,1,249
20-15,1187,2679,0,170
20-16,1141,2487,0,170
20-17,1517,2460,0,165
