id,Mark Robinson,Yvonne Lewis Holley,over,under
01-01,365,1295,0,32
01-02,431,1254,1,43
01-03,789,1027,0,40
01-04,454,678,1,33
01-05,509,585,0,41
01-06,723,1861,0,63
01-07,585,1730,1,56
01-07A,38,193,0,12
01-09,264,833,0,20
01-10,465,920,0,30
01-11,1266,1098,0,64
01-12,640,1089,0,46
01-13,261,1168,0,23
01-14,568,2752,0,58
01-15,875,1188,0,63
01-16,874,1740,0,70
01-17,482,506,1,30
01-18,846,1514,0,47
01-19,86,1355,1,20
01-20,294,2000,1,36
01-21,908,2631,1,70
01-22,215,3101,2,28
01-23,699,2597,0,104
01-25,48,455,0,7
01-26,137,1573,0,30
01-27,350,1607,1,42
01-28,582,3187,0,65
01-29,1045,1236,0,42
01-30,511,705,0,38
01-31,533,2305,1,79
01-32,580,1698,0,46
01-33,560,1069,0,38
01-34,70,1144,0,14
01-35,108,1643,1,24
01-36,1150,1288,1,61
01-37,768,955,0,38
01-38,573,1350,0,42
01-39,700,1603,0,65
01-40,246,3084,2,43
01-41,416,1458,0,59
01-42,1279,1251,0,53
01-43,660,1396,0,43
01-44,979,2148,1,69
01-45,597,922,1,33
01-46,369,1897,1,48
01-47,951,1053,0,48
01-48,457,1504,0,30
01-49,632,2083,3,68
01-50,196,2348,0,44
01-51,408,588,1,23
02-01,1441,1492,1,65
02-02,2925,2547,0,93
02-03,1540,1240,0,57
02-04,1252,1004,3,39
02-05,487,486,1,24
02-06,1381,1065,0,52
03-00,2821,2994,1,159
04-01,704,1274,1,46
04-02,819,1468,0,47
04-03,580,1251,0,36
04-04,501,964,0,31
04-05,1220,2130,0,74
04-06,1007,1691,0,79
04-07,1341,1239,0,55
04-08,665,1557,0,66
04-09,956,1340,2,51
04-10,985,1589,0,58
04-11,416,972,1,30
04-12,983,1582,0,70
04-13,1568,2669,1,115
04-14,610,946,2,38
04-15,814,1505,0,49
04-16,617,1284,0,43
04-17,517,1127,0,44
04-18,904,1698,0,64
04-19,616,1015,0,42
04-20,903,1864,2,75
04-21,431,1154,1,34
05-01,1414,2335,0,90
05-03,1476,2261,5,93
05-05,2074,4441,2,135
05-06,1774,2832,2,119
05-07,1937,4450,2,164
05-08,927,2452,2,76
06-04,1603,2136,1,76
06-05,1652,1299,0,59
06-06,2721,3146,1,158
06-07,1380,1746,0,79
06-08,811,1207,0,63
06-09,3469,3241,2,192
06-10,1895,1662,3,90
07-01,476,1052,0,33
07-02,603,915,1,44
07-03,592,902,0,29
07-04,1130,2582,1,86
07-05,618,1074,0,29
07-06,1417,1890,1,101
07-07,1356,1974,0,76
07-07A,183,310,1,34
07-09,1052,1909,1,68
07-10,1514,3145,2,112
07-11,453,631,0,25
07-12,774,1677,2,77
07-13,753,1286,0,42
08-02,1416,2279,0,90
08-03,1826,3130,1,112
08-04,803,842,0,28
08-05,891,1071,0,37
08-06,471,1495,0,44
08-07,1221,1176,1,52
08-08,1739,2265,3,109
08-09,653,1124,0,52
08-10,951,1640,0,55
08-11,1362,2303,1,89
09-01,1167,916,0,41
09-02,1101,1839,2,44
09-03,1719,1651,0,54
10-01,759,391,0,21
10-02,1543,1904,1,61
10-03,1031,1350,0,38
10-04,2985,4444,2,106
11-01,1701,3287,3,130
11-02,1488,2658,0,107
12-01,3376,2377,0,130
12-02,2114,2287,1,83
12-04,2854,1621,1,82
12-05,3773,3410,2,163
12-06,2058,1772,2,84
12-07,1516,1186,1,49
12-08,1939,2322,0,119
12-09,2585,2164,0,111
13-01,987,3560,1,98
13-02,831,1055,0,50
13-05,472,1441,0,37
13-06,1103,1678,0,61
13-07,610,1532,2,34
13-08,520,2047,0,44
13-09,912,3011,1,60
13-10,2289,3129,2,132
13-11,1355,1545,1,62
14-01,476,276,0,9
14-02,4008,2500,0,118
15-01,2245,1608,0,57
15-02,2633,2551,2,108
15-03,2749,1802,0,81
15-04,1181,976,2,27
16-01,1183,1420,2,59
16-02,767,3340,1,84
16-03,481,842,1,25
16-04,1076,1369,0,53
16-05,1018,1202,0,39
16-06,395,765,0,31
16-07,1278,1738,0,48
16-09,1428,2409,1,85
16-10,573,3611,1,53
16-11,491,2412,1,33
17-01,640,1618,1,38
17-02,646,820,1,24
17-03,1649,4011,3,99
17-04,1920,4079,1,104
17-05,916,2514,2,70
17-06,929,1095,1,41
17-07,486,2719,1,36
17-09,352,2951,0,36
17-10,367,715,0,30
17-11,969,2907,4,86
17-12,748,2279,0,51
17-13,1604,3055,4,79
18-01,920,3113,0,88
18-02,2474,2009,0,98
18-03,868,1321,0,52
18-04,1877,1916,0,78
18-05,2092,2598,0,109
18-06,1061,2512,1,103
18-07,1787,1433,1,59
18-08,1430,2420,0,114
19-03,1446,1373,0,64
19-05,1811,1242,0,71
19-07,2047,1985,0,90
19-09,2398,1946,0,100
19-11,1424,1624,0,84
19-12,3103,3255,1,152
19-13,786,1201,1,47
19-14,1258,1516,0,57
19-15,1337,1386,2,50
19-16,1117,1336,0,47
19-17,1554,3291,1,75
19-18,1452,1546,0,60
19-19,3274,2770,1,121
19-20,1567,1681,1,50
19-21,1923,2701,0,92
20-01,1306,2023,1,75
20-03,1688,2223,1,111
20-04,1215,2057,1,92
20-05,1718,2149,0,97
20-06A,1778,2770,1,121
20-06B,1442,1892,0,80
20-08,1903,2528,2,115
20-09,1064,1494,0,50
20-10,1067,1880,0,81
20-11,2047,2748,0,126
20-12,2033,2888,4,104
20-14,2170,4001,2,144
20-15,1136,2791,0,109
20-16,1122,2568,0,108
20-17,1499,2546,0,97
