id,No,Yes,over,under
01-01,216,1025,1,58
01-02,243,1016,0,41
01-03,426,1061,3,80
01-04,217,606,0,35
01-05,258,635,0,40
01-06,384,1453,0,96
01-07,352,1382,0,72
01-07A,18,91,0,24
01-09,205,726,0,23
01-10,310,900,1,39
01-11,527,1418,0,78
01-12,374,972,0,60
01-13,201,996,0,26
01-14,424,2155,1,71
01-15,444,1115,2,99
01-16,429,1442,1,74
01-17,231,569,0,32
01-18,487,1143,0,55
01-19,113,677,0,33
01-20,229,1283,0,59
01-21,575,1636,1,90
01-22,308,1613,0,63
01-23,341,1592,3,149
01-25,33,217,1,12
01-26,166,976,0,37
01-27,242,1140,0,57
01-28,453,1969,0,92
01-29,525,1262,0,70
01-30,335,682,0,53
01-31,275,1133,1,65
01-32,350,1007,0,69
01-33,317,1026,0,61
01-34,113,668,1,18
01-35,179,838,0,42
01-36,512,1220,0,94
01-37,405,913,0,51
01-38,358,898,3,50
01-39,429,1096,0,63
01-40,299,1585,0,56
01-41,228,1049,0,63
01-42,688,1230,0,85
01-43,371,912,0,58
01-44,566,1552,0,77
01-45,382,707,2,30
01-46,202,829,0,48
01-47,552,1007,0,47
01-48,318,1143,0,50
01-49,319,1042,0,62
01-50,251,1220,0,42
01-51,260,512,0,31
02-01,729,1606,0,106
02-02,1663,2639,1,171
02-03,820,1352,0,84
02-04,681,1148,2,88
02-05,266,538,0,31
02-06,722,1152,0,90
03-00,1422,3287,0,213
04-01,327,1128,0,56
04-02,443,1218,0,61
04-03,321,860,0,47
04-04,257,707,0,36
04-05,680,1835,0,118
04-06,517,1678,0,87
04-07,637,1424,1,91
04-08,389,1217,0,62
04-09,515,1132,1,89
04-10,557,1306,1,79
04-11,239,721,0,31
04-12,551,1459,3,81
04-13,921,2229,0,133
04-14,338,864,0,47
04-15,476,1206,0,76
04-16,327,1086,0,54
04-17,305,874,0,49
04-18,426,1342,1,65
04-19,337,961,0,35
04-20,481,1441,1,56
04-21,207,704,0,40
05-01,791,1635,1,103
05-03,797,1774,2,115
05-05,1086,2756,2,203
05-06,1082,2314,0,138
05-07,1195,2873,2,176
05-08,633,1672,0,100
06-04,796,1718,0,99
06-05,796,1483,3,86
06-06,1277,2826,1,205
06-07,714,1543,0,110
06-08,430,1009,0,49
06-09,1672,3540,0,272
06-10,1015,1959,0,138
07-01,283,791,0,52
07-02,312,799,1,48
07-03,346,852,0,42
07-04,720,1749,1,110
07-05,371,830,1,39
07-06,805,1878,0,107
07-07,743,1643,1,89
07-07A,76,374,0,29
07-09,571,1444,0,69
07-10,829,2150,0,140
07-11,278,612,0,38
07-12,442,1241,0,60
07-13,494,1002,0,57
08-02,861,1928,0,120
08-03,970,2228,1,154
08-04,480,902,0,58
08-05,512,1062,0,55
08-06,250,840,0,74
08-07,675,1252,2,79
08-08,919,2074,0,133
08-09,413,883,0,55
08-10,534,1201,0,66
08-11,726,1705,0,129
09-01,640,761,1,70
09-02,568,1085,2,92
09-03,946,1478,1,102
10-01,389,391,0,33
10-02,761,1280,1,103
10-03,523,1040,1,73
10-05,934,1455,2,88
10-06,972,2267,0,139
11-01,780,2133,2,168
11-02,776,2051,1,124
12-01,1656,2711,1,216
12-02,1140,2085,1,155
12-04,1487,1930,1,173
12-06,1202,2156,3,160
12-07,836,1177,1,73
12-08,971,2021,1,152
12-09,1319,2211,2,153
12-10,1061,2322,0,157
12-11,862,1320,0,95
13-01,627,2101,2,107
13-02,465,903,0,57
13-05,270,755,0,40
13-06,652,1260,1,89
13-07,384,893,0,45
13-08,345,1036,0,58
13-09,602,1718,0,114
13-10,1268,2597,2,200
13-11,780,1433,0,111
14-01,289,277,0,33
14-02,2079,2831,0,290
15-01,1131,1638,0,137
15-02,1342,2343,0,159
15-03,1469,2014,0,142
15-04,625,988,0,62
16-01,563,952,0,56
16-02,525,1860,1,73
16-03,277,639,0,22
16-04,633,1315,0,76
16-05,532,951,0,79
16-06,267,508,0,34
16-07,680,1676,0,83
16-09,834,1931,1,125
16-10,540,1828,2,78
16-11,506,1482,0,58
17-01,384,1031,0,45
17-02,357,685,0,44
17-03,1036,2627,2,144
17-04,1129,2496,1,158
17-05,639,1519,1,77
17-06,534,830,0,58
17-07,407,1538,3,68
17-09,361,1471,3,68
17-10,236,440,0,30
17-11,589,1710,0,75
17-12,436,1345,1,58
17-13,922,2107,0,123
18-01,445,1741,1,101
18-02,1332,2166,1,149
18-03,451,1211,1,58
18-04,1026,1939,0,110
18-05,1158,2598,0,137
18-06,571,1649,1,103
18-07,1022,1584,1,103
18-08,763,1888,0,135
19-03,693,1167,1,124
19-05,897,1384,2,142
19-07,1251,2116,0,192
19-09,1225,1804,1,126
19-11,698,1413,0,123
19-12,1518,2795,5,221
19-13,396,851,0,74
19-14,562,1188,0,104
19-15,622,1200,2,87
19-16,626,1024,0,91
19-17,903,2152,1,117
19-18,818,1381,0,97
19-19,1704,2842,3,246
19-20,831,1480,1,143
19-21,1035,2084,0,148
20-01,666,1533,1,117
20-03,841,2098,2,114
20-04,646,1627,0,123
20-05,921,2075,0,107
20-06A,923,2335,0,133
20-06B,713,1749,1,124
20-08,925,2257,0,119
20-09,540,1426,1,78
20-10,580,1606,1,70
20-11,1111,2630,0,168
20-12,1082,2620,1,150
20-14,1273,3077,1,181
20-15,670,1902,0,139
20-16,622,1739,1,113
20-17,895,2043,0,109
