id,tillis,bray,cunningham,under
01-01,353,47,1259,20
01-02,410,45,1249,21
01-03,824,30,983,16
01-04,447,32,669,7
01-05,533,13,572,13
01-06,697,82,1828,31
01-07,568,80,1684,28
01-07A,38,5,187,7
01-09,267,21,818,5
01-10,487,30,883,12
01-11,1349,24,1025,28
01-12,643,36,1070,17
01-13,248,43,1143,5
01-14,558,94,2684,32
01-15,869,58,1164,26
01-16,833,91,1693,39
01-17,471,25,507,7
01-18,808,75,1460,31
01-19,69,50,1315,18
01-20,290,63,1951,19
01-21,885,152,2496,46
01-22,194,99,2992,33
01-23,677,153,2510,35
01-25,41,24,432,8
01-26,133,62,1505,25
01-27,323,68,1577,17
01-28,543,129,3088,47
01-29,1040,38,1216,19
01-30,491,42,693,18
01-31,481,132,2228,43
01-32,541,99,1625,40
01-33,568,30,1043,20
01-34,78,30,1083,16
01-35,95,43,1597,22
01-36,1156,67,1249,23
01-37,747,59,922,17
01-38,525,63,1326,31
01-39,657,117,1541,35
01-40,239,94,2970,36
01-41,387,81,1422,27
01-42,1248,69,1225,22
01-43,619,86,1347,25
01-44,893,136,2078,55
01-45,564,77,879,22
01-46,347,100,1800,36
01-47,928,61,1032,24
01-48,437,57,1467,16
01-49,596,157,1975,35
01-50,176,76,2278,36
01-51,412,31,566,5
02-01,1398,94,1462,29
02-02,2919,132,2455,33
02-03,1520,94,1188,17
02-04,1222,62,974,23
02-05,489,21,473,10
02-06,1391,52,1025,23
03-00,2775,203,2893,70
04-01,635,83,1238,31
04-02,780,78,1430,26
04-03,545,86,1204,18
04-04,473,83,906,20
04-05,1188,115,2072,31
04-06,1007,74,1640,41
04-07,1350,55,1198,19
04-08,650,82,1517,24
04-09,962,64,1296,14
04-10,949,90,1550,29
04-11,387,60,940,17
04-12,951,90,1542,32
04-13,1564,131,2575,60
04-14,565,72,926,19
04-15,796,100,1423,29
04-16,579,76,1250,17
04-17,501,74,1089,17
04-18,850,84,1679,27
04-19,578,69,997,15
04-20,874,106,1805,33
04-21,411,78,1096,17
05-01,1377,125,2271,53
05-03,1461,109,2207,38
05-05,2023,221,4285,66
05-06,1799,118,2735,49
05-07,1896,194,4313,102
05-08,929,103,2363,43
06-04,1474,202,2069,37
06-05,1619,78,1254,39
06-06,2594,228,3064,76
06-07,1339,125,1676,38
06-08,778,80,1178,26
06-09,3343,255,3164,86
06-10,1818,158,1606,34
07-01,479,57,995,18
07-02,597,42,888,27
07-03,578,47,874,13
07-04,1065,156,2500,48
07-05,618,62,1008,15
07-06,1446,79,1840,32
07-07,1308,123,1920,29
07-07A,184,4,312,25
07-09,1022,139,1812,36
07-10,1509,187,3007,46
07-11,444,42,598,15
07-12,773,85,1634,28
07-13,724,81,1237,20
08-02,1409,138,2184,35
08-03,1813,204,2968,57
08-04,797,50,803,11
08-05,852,53,1057,24
08-06,454,94,1431,19
08-07,1203,76,1139,22
08-08,1686,137,2222,49
08-09,624,85,1084,24
08-10,926,101,1576,27
08-11,1308,132,2246,52
09-01,1106,61,905,19
09-02,1030,111,1775,28
09-03,1653,104,1597,35
10-01,710,28,405,10
10-02,1456,137,1837,35
10-03,972,96,1299,23
10-04,2854,293,4249,74
11-01,1655,208,3180,51
11-02,1468,117,2598,50
12-01,3238,221,2325,54
12-02,1955,235,2180,52
12-04,2679,190,1589,47
12-05,3689,284,3264,65
12-06,1977,172,1677,48
12-07,1417,118,1150,29
12-08,1847,193,2247,56
12-09,2476,177,2107,60
13-01,939,188,3405,59
13-02,801,83,1020,22
13-05,450,88,1369,23
13-06,1074,100,1615,32
13-07,578,72,1475,25
13-08,497,93,1966,30
13-09,879,167,2866,34
13-10,2241,142,3079,55
13-11,1307,88,1521,24
14-01,456,26,263,9
14-02,3948,209,2382,50
15-01,2131,166,1521,36
15-02,2521,214,2466,33
15-03,2633,184,1724,43
15-04,1146,76,924,16
16-01,1116,124,1359,28
16-02,715,161,3220,50
16-03,457,60,794,17
16-04,1062,80,1302,27
16-05,957,95,1155,18
16-06,357,65,740,20
16-07,1189,120,1686,32
16-09,1371,165,2309,34
16-10,531,132,3499,35
16-11,457,83,2335,31
17-01,600,80,1575,23
17-02,618,44,801,11
17-03,1552,210,3877,60
17-04,1869,219,3889,68
17-05,891,116,2417,47
17-06,890,59,1062,24
17-07,466,114,2605,28
17-09,315,124,2839,26
17-10,354,49,673,20
17-11,915,122,2816,60
17-12,709,125,2157,43
17-13,1522,177,2945,41
18-01,859,187,3004,41
18-02,2419,148,1948,38
18-03,885,52,1267,23
18-04,1805,120,1884,40
18-05,2092,136,2512,43
18-06,1005,163,2439,49
18-07,1728,112,1363,40
18-08,1394,133,2362,42
19-03,1360,126,1326,36
19-05,1792,93,1193,29
19-07,1961,143,1910,64
19-09,2316,148,1892,44
19-11,1369,119,1560,46
19-12,2986,213,3158,89
19-13,764,76,1147,29
19-14,1230,72,1484,28
19-15,1272,77,1365,36
19-16,1061,76,1310,28
19-17,1453,207,3167,46
19-18,1374,120,1497,36
19-19,3185,188,2704,51
19-20,1526,88,1625,33
19-21,1850,192,2596,50
20-01,1222,150,1937,55
20-03,1614,156,2165,54
20-04,1170,109,2009,42
20-05,1708,123,2060,43
20-06A,1694,199,2676,57
20-06B,1407,116,1829,35
20-08,1854,174,2433,52
20-09,1057,77,1430,25
20-10,1053,90,1829,41
20-11,1988,198,2640,54
20-12,1996,155,2797,50
20-14,2145,173,3888,77
20-15,1137,134,2690,46
20-16,1094,147,2477,55
20-17,1506,121,2441,45
