id,Mark L. Stevens,under
01-04,681,308
01-09,941,199
01-10,1088,375
01-12,1324,436
01-13,1264,240
01-14,2861,527
01-15,1855,806
01-17,647,352
01-18,1669,586
01-28,2913,508
01-30,816,365
01-34,1032,155
01-36,1584,783
01-37,1199,502
01-38,1457,454
01-39,1610,520
01-43,1514,496
01-44,2309,671
01-45,1096,427
01-46,1537,336
01-51,679,287
07-03,1022,434
07-04,2626,825
07-05,1195,427
07-09,2043,793
07-11,736,344
07-12,1760,592
07-13,1479,578
08-02,2609,1138
08-06,1382,336
08-09,1261,483
13-02,1256,576
13-05,1551,391
13-06,1870,806
17-01,1710,538
17-05,2612,808
17-10,739,316
