id,Karl Roth,Kevin Boxberger,over,under
01-01,340,1295,3,90
01-02,374,1188,0,77
01-03,787,1113,0,106
01-05,445,568,0,78
01-06,498,1901,1,106
01-07,639,1871,0,118
01-07A,43,143,0,11
01-11,1246,1151,0,169
01-16,761,1810,1,147
01-29,923,1125,0,110
01-33,568,1064,0,106
01-49,555,1814,0,123
04-01,616,1215,1,91
04-02,806,1621,0,109
04-03,554,1099,2,67
04-04,525,1079,1,71
04-05,1107,2050,2,174
04-06,951,1715,1,122
04-07,1257,1227,0,109
04-08,628,1540,0,100
04-09,934,1458,0,129
04-10,842,1565,0,111
04-11,393,909,0,62
04-12,846,1565,2,117
04-14,529,950,0,50
04-15,725,1418,0,94
04-16,525,1277,1,89
04-17,435,1052,0,73
04-18,722,1629,0,134
04-20,808,1766,1,119
04-21,402,1028,0,63
05-05,1819,4192,0,277
06-05,1575,1259,1,121
06-07,1298,1771,0,144
07-01,449,1082,0,76
07-10,1339,3020,0,207
08-03,1771,3330,0,270
08-08,1569,2262,1,205
08-10,819,1567,0,130
08-11,1279,2227,0,229
11-01,1604,3224,1,284
11-02,1433,2596,1,237
12-01,3453,2742,1,288
12-02,2298,2890,2,232
12-04,3060,2132,1,216
12-06,2898,2921,1,287
12-07,1570,1345,0,109
12-09,2769,2340,0,245
12-10,2169,2342,1,196
12-11,1629,1484,0,165
15-01,2015,1728,0,146
15-02,2532,2805,1,207
15-03,2738,2010,1,167
15-04,1081,958,2,71
16-01,1191,1599,1,150
16-05,898,1241,0,100
16-09,1573,2929,0,192
18-02,2293,2146,0,203
18-03,774,1262,1,74
18-05,1948,2729,1,197
20-03,1613,2363,1,216
20-05,1652,2150,0,183
20-09,989,1485,1,130
