id,Brad Knott,Frank Pierce,over,under
02-03,1420,1276,0,65
02-04,1243,1014,0,59
02-06,1325,1108,1,65
06-05,1574,1306,0,76
09-01,1211,858,1,33
09-02,238,289,1,14
09-03,2139,2636,0,124
10-03,95,78,0,8
10-05,437,324,0,19
12-01,3478,2804,3,199
12-04,3105,2167,1,136
12-06,2963,2955,1,188
12-07,1595,1358,1,70
12-09,2784,2415,0,155
12-10,2187,2387,1,133
12-11,1640,1550,0,88
14-01,511,267,0,21
14-02,4334,2982,2,168
15-01,2044,1740,4,101
15-02,2583,2820,1,141
15-03,2791,2017,0,108
15-04,1112,958,0,42
16-01,539,547,0,39
16-09,471,650,0,33
18-02,2314,2198,2,128
18-07,1890,1689,1,105
19-03,1438,1626,2,90
19-05,1792,1404,0,74
19-07,2260,2567,1,156
19-09,2579,2282,0,127
